planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
lama,QSAT,1,18,level_01_seed_018,4.49,56597,252
lama,QSAT,4,11,level_04_seed_011,10.1,349532,352
lama,QSAT,3,26,level_03_seed_026,6.73,175016,176
lama,QSAT,2,12,level_02_seed_012,5.51,116437,526
lama,QSAT,2,18,level_02_seed_018,6.61,204201,152
lama,QSAT,4,21,level_04_seed_021,13.61,563259,200
lama,QSAT,3,10,level_03_seed_010,5.52,111135,350
lama,QSAT,2,6,level_02_seed_006,4.27,34625,290
lama,QSAT,1,15,level_01_seed_015,5.05,75426,260
lama,QSAT,2,2,level_02_seed_002,4.4,22771,228
lama,QSAT,3,19,level_03_seed_019,7.89,236340,180
lama,QSAT,4,14,level_04_seed_014,8.97,273980,200
lama,ROCK,0,10,level_00_seed_010,0.45,65,13
lama,ROCK,3,0,level_03_seed_000,8.42,411,36
lama,ROCK,4,3,level_04_seed_003,7.62,682,56
lama,ROCK,2,8,level_02_seed_008,0.13,70,14
lama,ROCK,3,5,level_03_seed_005,7.87,503,35
lama,ROCK,2,27,level_02_seed_027,1.3,102,14
lama,ROCK,3,12,level_03_seed_012,7.61,425,35
lama,ROCK,3,27,level_03_seed_027,9.23,401,39
lama,ROCK,2,16,level_02_seed_016,0.6,176,16
lama,ROCK,4,9,level_04_seed_009,7.43,419,45
lama,ROCK,0,19,level_00_seed_019,0.13,70,14
lama,ROCK,1,23,level_01_seed_023,0.57,88,14
lama,ROCK,2,15,level_02_seed_015,1.0,126,11
lama,ROCK,3,28,level_03_seed_028,6.52,555,38
lama,ROCK,1,19,level_01_seed_019,0.45,65,13
lama,ROCK,2,4,level_02_seed_004,1.39,299,18
lama,ROCK,0,8,level_00_seed_008,0.45,65,13
lama,ROCK,3,8,level_03_seed_008,8.59,484,44
lama,ROCK,2,10,level_02_seed_010,2.07,263,25
lama,ROCK,3,7,level_03_seed_007,9.01,483,49
lama,ROCK,0,20,level_00_seed_020,0.43,85,9
lama,ROCK,2,11,level_02_seed_011,0.45,65,13
lama,ROCK,1,16,level_01_seed_016,1.26,174,15
lama,ROCK,4,20,level_04_seed_020,7.85,587,48
lama,ROCK,0,0,level_00_seed_000,0.45,65,13
lama,ROCK,4,19,level_04_seed_019,6.54,522,39
lama,ROCK,2,1,level_02_seed_001,0.13,70,14
lama,ROCK,3,22,level_03_seed_022,7.6,311,31
lama,ROCK,1,28,level_01_seed_028,0.14,70,14
lama,ROCK,3,23,level_03_seed_023,6.46,473,41
lama,ROCK,1,21,level_01_seed_021,0.58,93,13
lama,ROCK,3,20,level_03_seed_020,7.14,362,33
lama,ROCK,4,18,level_04_seed_018,7.46,407,46
lama,ROCK,4,6,level_04_seed_006,9.78,490,42
lama,ROCK,4,22,level_04_seed_022,8.84,473,47
lama,ROCK,0,2,level_00_seed_002,0.56,50,10
lama,ROCK,0,13,level_00_seed_013,0.13,70,14
lama,ROCK,2,14,level_02_seed_014,0.45,65,13
lama,ROCK,2,22,level_02_seed_022,0.69,143,17
lama,ROCK,2,20,level_02_seed_020,0.87,185,14
lama,ROCK,0,12,level_00_seed_012,0.44,65,13
lama,ROCK,0,27,level_00_seed_027,0.43,50,10
lama,ROCK,4,12,level_04_seed_012,5.28,515,42
lama,ROCK,2,28,level_02_seed_028,1.03,91,14
lama,ROCK,3,15,level_03_seed_015,7.12,189,25
lama,ROCK,1,13,level_01_seed_013,0.3,45,9
lama,ROCK,4,1,level_04_seed_001,10.07,280,36
lama,ROCK,4,29,level_04_seed_029,8.72,446,33
lama,ROCK,3,3,level_03_seed_003,8.75,211,36
lama,ROCK,4,24,level_04_seed_024,8.38,493,39
lama,ROCK,1,10,level_01_seed_010,0.46,138,16
lama,ROCK,0,3,level_00_seed_003,0.14,70,14
lama,ROCK,1,9,level_01_seed_009,0.7,73,13
lama,ROCK,2,25,level_02_seed_025,0.69,218,14
lama,ROCK,4,13,level_04_seed_013,8.1,854,46
lama,ROCK,1,25,level_01_seed_025,0.9,188,11
lama,ROCK,3,9,level_03_seed_009,5.26,730,34
lama,ROCK,0,22,level_00_seed_022,0.45,65,13
lama,ROCK,2,26,level_02_seed_026,0.84,163,18
lama,ROCK,0,7,level_00_seed_007,0.43,65,13
lama,ROCK,0,4,level_00_seed_004,0.43,50,10
lama,ROCK,0,26,level_00_seed_026,0.31,45,9
lama,ROCK,1,4,level_01_seed_004,0.56,50,10
lama,ROCK,1,14,level_01_seed_014,0.14,70,14
lama,ROCK,3,13,level_03_seed_013,5.46,542,37
lama,ROCK,4,7,level_04_seed_007,6.41,540,32
lama,ROCK,1,24,level_01_seed_024,0.46,138,16
lama,ROCK,1,5,level_01_seed_005,0.47,50,10
lama,ROCK,4,5,level_04_seed_005,7.45,829,49
lama,ROCK,3,29,level_03_seed_029,5.37,623,34
lama,ROCK,3,2,level_03_seed_002,6.29,455,38
lama,ROCK,4,15,level_04_seed_015,7.18,568,41
lama,ROCK,0,5,level_00_seed_005,0.3,45,9
lama,ROCK,0,9,level_00_seed_009,0.12,70,14
lama,ROCK,3,21,level_03_seed_021,8.03,544,40
lama,ROCK,2,17,level_02_seed_017,0.14,70,14
lama,ROCK,2,19,level_02_seed_019,1.27,297,20
lama,ROCK,4,4,level_04_seed_004,5.56,655,33
lama,ROCK,0,28,level_00_seed_028,0.3,45,9
lama,ROCK,0,21,level_00_seed_021,0.13,70,14
lama,ROCK,0,11,level_00_seed_011,0.98,76,6
lama,ROCK,3,16,level_03_seed_016,9.31,181,33
lama,ROCK,2,24,level_02_seed_024,0.68,159,17
lama,ROCK,1,22,level_01_seed_022,0.45,65,13
lama,ROCK,3,4,level_03_seed_004,8.03,235,34
lama,ROCK,3,11,level_03_seed_011,7.6,269,40
lama,ROCK,0,29,level_00_seed_029,0.44,65,13
lama,ROCK,3,6,level_03_seed_006,6.84,474,32
lama,ROCK,1,3,level_01_seed_003,0.44,65,13
lama,ROCK,3,25,level_03_seed_025,7.41,530,50
lama,ROCK,2,29,level_02_seed_029,0.13,70,14
lama,ROCK,1,12,level_01_seed_012,1.75,215,19
lama,ROCK,2,5,level_02_seed_005,0.99,142,21
lama,ROCK,4,0,level_04_seed_000,8.17,524,40
lama,ROCK,2,23,level_02_seed_023,0.89,72,12
lama,ROCK,3,1,level_03_seed_001,6.94,782,47
lama,ROCK,4,23,level_04_seed_023,6.28,566,35
lama,ROCK,1,11,level_01_seed_011,0.77,193,17
lama,ROCK,4,10,level_04_seed_010,7.51,476,34
lama,ROCK,2,9,level_02_seed_009,1.96,231,17
lama,ROCK,1,26,level_01_seed_026,1.0,186,17
lama,ROCK,4,16,level_04_seed_016,8.26,358,39
lama,ROCK,1,27,level_01_seed_027,0.77,103,17
lama,ROCK,1,29,level_01_seed_029,0.44,65,13
lama,ROCK,1,20,level_01_seed_020,0.13,70,14
lama,ROCK,1,8,level_01_seed_008,0.13,70,14
lama,ROCK,0,15,level_00_seed_015,0.53,50,10
lama,ROCK,0,14,level_00_seed_014,0.45,65,13
lama,ROCK,1,17,level_01_seed_017,0.45,65,13
lama,ROCK,1,7,level_01_seed_007,1.4,264,24
lama,ROCK,0,25,level_00_seed_025,0.66,50,6
lama,ROCK,3,24,level_03_seed_024,9.83,356,37
lama,ROCK,0,24,level_00_seed_024,0.31,45,9
lama,ROCK,4,25,level_04_seed_025,8.63,597,39
lama,ROCK,0,1,level_00_seed_001,0.45,65,13
lama,ROCK,4,27,level_04_seed_027,7.46,454,41
lama,ROCK,2,13,level_02_seed_013,1.01,83,15
lama,ROCK,2,0,level_02_seed_000,0.14,70,14
lama,ROCK,1,6,level_01_seed_006,0.5,69,9
lama,ROCK,0,17,level_00_seed_017,0.44,65,13
